name,local_address,principle_address,type,secstaff_reg_url,latitude,longitude
BANK OF NOVA SCOTIA (THE),"SUITE 2101, CENTRAL TOWER, 28 QUEEN'S ROAD CENTRAL, HONG KONG.","44 KING STREET WEST, TORONTO, ONTARIO, CANADA.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100088,22.2812123621644,114.156821063959
BANK OF SHANGHAI (HONG KONG) LIMITED,"34/F, CHAMPION TOWER, 3 GARDEN ROAD, CENTRAL, HONG KONG.",,Restricted Licence Bank,,22.278446979709,114.160644996388
BANK OF SINGAPORE LIMITED,"34/F & 35/F, ONE INTERNATIONAL FINANCE CENTRE, 1 HARBOUR VIEW STREET, CENTRAL, HONG KONG.","63 CHULIA STREET, #10-00 OCBC CENTRE EAST, SINGAPORE (049514)",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100290,22.2849386021992,114.158046454059
BANK OF TAIWAN,"17/F, STANDARD CHARTERED BANK BUILDING, 4-4A DES VOEUX ROAD CENTRAL, CENTRAL, HONG KONG","NO. 120, SECTION 1, CHONGCING SOUTH ROAD, JHONGJHENG DISTRICT, TAIPEI CITY 10007, TAIWAN.",Licensed Bank,,22.2803701111054,114.159081901702
"BANK OF YOKOHAMA, LTD. (THE)","SUITE 2109 , TOWER 6, THE GATEWAY, HARBOUR CITY, 9 CANTON ROAD, TSIM SHA TSUI, KOWLOON.","1-1, MINATOMIRAI 3-CHOME, NISHI-KU, YOKOHAMA, KANAGAWA, 220-8611, JAPAN.",Local Representative Office,,22.2970395163072,114.168193994587
BANK SINOPAC,"26/F, CENTRAL TOWER, 28 QUEEN'S ROAD CENTRAL, CENTRAL, HONG KONG.","NO.36, SECTION 3, NANKING EAST ROAD, CHUNG SHAN DISTRICT, TAIPEI 104, TAIWAN.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100260,22.2937438336182,114.158152146543
BANQUE CANTONALE DE GENEVE,"UNIT 808-809, 8/F, ALEXANDRA HOUSE, 18 CHATER ROAD, CENTRAL, HONG KONG.","BCGE, QUAI DE L'LLE 17, P.O. BOX 2251, CH-1211 GENEVA 2, SWITZERLAND.",Local Representative Office,,22.2815108431753,114.158574037015
BANQUE PICTET & CIE SA,"9/F, CHATER HOUSE, 8 CONNAUGHT ROAD CENTRAL, HONG KONG","ROUTE DES ACACIAS 60, 1211 GENEVA 73, SWITZERLAND",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100339,22.2824235332795,114.158389267553
BANQUE TRANSATLANTIQUE S.A.,"SUITES 4306-4311, 43RD FLOOR, JARDINE HOUSE, 1 CONNAUGHT PLACE, CENTRAL, HONG KONG","26 AVENUE F.D. ROOSEVELT, 75008 PARIS, FRANCE",Local Representative Office,,22.282960710963,114.159255892303
BARCLAYS BANK PLC,"41/F, CHEUNG KONG CENTER, 2 QUEEN'S ROAD CENTRAL, HONG KONG.","1 CHURCHILL PLACE, LONDON, E14 5HP, UNITED KINGDOM.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100084,22.2798144091155,114.160584754059
BCOM FINANCE (HONG KONG) LIMITED,"1/F WHEELOCK HOUSE, 20 PEDDER STREET, CENTRAL, HONG KONG.",,Deposit-taking Company,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=300275,22.2820140520059,114.157362096388
"BDO UNIBANK, INC.","SUITE 1001, 10TH FLOOR, CENTRAL TOWER, 28 QUEEN'S ROAD CENTRAL, HONG KONG","BDO CORPORATE CENTER, 7899 MAKATI AVENUE, MAKATI CITY, PHILIPPINES.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100054,22.2813532903248,114.156826361729
BENDURA BANK AG,"UNIT 1905, LEVEL 19, INTERNATIONAL COMMERCE CENTRE, 1 AUSTIN ROAD WEST, KOWLOON","SCHAANER STRASSE 27, 9487 GAMPRIN-BENDERN, PRINCIPALITY OF LIECHTENSTEIN",Local Representative Office,,22.3034257556302,114.160179395392
BNP PARIBAS,"60/F AND 63/F, TWO INTERNATIONAL FINANCE CENTRE, 8 FINANCE STREET, CENTRAL, HONG KONG.","16, BOULEVARD DES ITALIENS, 75009 PARIS, FRANCE.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100079,22.2856881962824,114.159311480481
BPI INTERNATIONAL FINANCE LIMITED,"5/F, LHT TOWER, 31 QUEEN'S ROAD CENTRAL, HONG KONG",,Deposit-taking Company,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=300006,22.2821234350935,114.156525438718
CA INDOSUEZ (SWITZERLAND) SA,"SUITE 2918, 29/F, TWO PACIFIC PLACE, 88 QUEENSWAY, HONG KONG.","4, QUAI G-N-RAL-GUISAN, 1204 GENEVA, SWITZERLAND.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100303,22.2774091502031,114.16440756599
CAIXABANK S.A.,"UNIT 12A, 12TH FLOOR, NO. 33 DES VOEUX ROAD CENTRAL, CENTRAL, HONG KONG","PINTOR SOROLLA, 2-4 IN VALENCIA, SPAIN",Local Representative Office,,22.2830369797056,114.157164967553
CANADIAN IMPERIAL BANK OF COMMERCE,"SUITE 3602, 36/F., CHEUNG KONG CENTER, 2 QUEEN'S ROAD CENTRAL, HONG KONG.","81 BAY STREET, CIBC SQUARE, TORONTO, ONTARIO, M5J 0E7 CANADA",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100099,22.2798500269763,114.160564135874
CATHAY BANK,"3008, 30/F, TOWER 2, THE GATEWAY, 25 CANTON ROAD, TSIM SHA TSUI, KOWLOON","777 NORTH BROADWAY, LOS ANGELES, CA 90012, U.S.A.",Licensed Bank,,22.3002932675569,114.168059360964
"CATHAY UNITED BANK COMPANY, LIMITED","10/F, LEE GARDEN THREE, 1 SUNNING ROAD, CAUSEWAY BAY, HONG KONG","1/F, NO. 7, SONGREN ROAD, TAIPEI CITY 110, TAIWAN.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100252,22.2783829146554,114.185220017553
"CHANG HWA COMMERCIAL BANK, LTD.","1401, TOWER II, THE GATEWAY, 25 CANTON ROAD, KOWLOON.","NO. 38, SECTION 2, ZIYOU ROAD, CENTRAL DIST., TAICHUNG CITY, TAIWAN",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100223,22.2996901278606,114.167745067837
CHAU'S BROTHERS FINANCE COMPANY LIMITED,"6TH FLOOR, CHAU'S COMMERCIAL CENTRE, 284 SHA TSUI ROAD, TSUEN WAN, N.T.",,Deposit-taking Company,,22.3696493296432,114.116494067555
"CHIBA BANK, LTD. (THE)","UNIT 2510, ONE PACIFIC PLACE, 88 QUEENSWAY, CENTRAL, HONG KONG.","1-2, CHIBA-MINATO, CHUO-KU CHIBA, JAPAN.",Licensed Bank,,22.2908404998831,114.164237918943
"CHINA BOHAI BANK CO., LTD.","SUITE 1201-1209 & 1215-1216, 12/F, TWO INTERNATIONAL FINANCE CENTRE, 8 FINANCE STREET, CENTRAL, HONG KONG","NO. 218, HAIHE EAST ROAD, HEDONG DISTRICT, TIANJIN, CHINA",Licensed Bank,,22.2853705678477,114.159299853492
CHINA CITIC BANK CORPORATION LIMITED,"80/F, INTERNATIONAL COMMERCE CENTRE, 1 AUSTIN ROAD WEST, KOWLOON","6-30/F AND 32-42/F, BUILDING NO. 1, 10 GUANGHUA ROAD, CHAOYANG DISTRICT, BEIJING, CHINA",Licensed Bank,,22.303660522019,114.160129215707
CHINA CITIC BANK INTERNATIONAL LIMITED,"61-65, DES VOEUX ROAD CENTRAL, HONG KONG",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100040,22.2838906139429,114.156726094542
CHINA CONSTRUCTION BANK (ASIA) CORPORATION LIMITED,"28/F, CCB TOWER, NO. 3 CONNAUGHT ROAD CENTRAL, CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100015,22.2814979084633,114.161474327846
CHINA CONSTRUCTION BANK CORPORATION,"28/F, CCB TOWER, NO. 3 CONNAUGHT ROAD CENTRAL, CENTRAL, HONG KONG.","NO.25, FINANCIAL STREET, XICHENG DISTRICT, BEIJING, P.R. CHINA",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100234,22.2816319176331,114.161452867553
CHINA DEVELOPMENT BANK,"33/F, ONE INTERNATIONAL FINANCE CENTRE, NO.1 HARBOUR VIEW STREET, CENTRAL, HONG KONG.","NO. 18, FUXINGMENNEI STREET, XICHENG DISTRICT, BEIJING, P.R. CHINA",Licensed Bank,,22.2853757265342,114.156848741616
