name,local_address,principle_address,type,secstaff_reg_url,latitude,longitude,isPenalty,year,Multiplier,assetsPrevMillion,assetsMillion,liabilitiesPrevMillion,liabilitiesMillion,establishmentYear,incomePrevMillion,incomeMillion,expensesPrevMillion,expensesMillion,adj_assetsPrevMillion,adj_assetsMillion,adj_liabilitiesPrevMillion,adj_liabilitiesMillion,adj_incomePrevMillion,adj_incomeMillion,adj_expensesPrevMillion,adj_expensesMillion,prev_percent_asset_capital,percent_asset_capital,assetsPrecentChange,liabilitiesPrecentChange,incomePercentChange,expensesPercentChange,profitPercentChange
"HUA XIA BANK CO., LIMITED","18/F, TWO INTERNATIONAL FINANCE CENTRE, 8 FINANCE STREET, CENTRAL, HONG KONG","HUA XIA BANK MANSION, 22 JIANGUOMENNEI STREET, DONGCHENG DISTRICT, BEIJING, P.R. CHINA",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100334,22.2854814,114.159311,0,2023,1.08,3676287,3900167,2213529,"2,272,973",1982,"95,870","93,808","62,175","62,270",3970389.96,4212180.36,2390611.32,2454810.84,103539.6,101312.64,67149,67251.6,0.397890045,0.417211366,0.060898401,0.026854855,-0.021508292,0.001527945,-0.064015433
"Commerzbank AG, Hong Kong Branch",,,,,22.32014,114.16405,1,2022,8.48264,477428,517166,446494,484156,1979,61162,37701,57759,35696,4049849.85,4386932.998,3787447.864,4106921.052,518815.2277,319804.0106,489948.8038,302796.3174,0.064793016,0.063828635,0.083233493,0.084350518,-0.383587849,-0.38198376,-0.410813987
STATE BANK OF INDIA,"15TH FLOOR, CENTRAL TOWER, 28 QUEEN'S ROAD CENTRAL, HONG KONG.","NARIMAN POINT, BOMBAY 400 021, INDIA.",Licensed Bank,,22.2820323,114.156842,1,2015,0.093,55169785.27,61796939.45,54277324,60904483,1955,46681281.92,36871865.78,31848620.42,40573619.9,5130790.03,5747115.369,5047791.132,5664116.919,4341359.219,3429083.518,2961921.699,3773346.651,0.016176631,0.014441758,0.120122892,0.122098116,-0.210135963,0.273952195,-1.249567761
"PING AN BANK CO., LTD.","38/F & 42/F, ONE EXCHANGE SQUARE, 8 CONNAUGHT PLACE, CENTRAL, HONG KONG","SOUTH TOWER, PING AN FINANCIAL CENTER, 5023 YITIAN ROAD, FUTIAN DISTRICT, SHENZHEN, CHINA",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100333,22.2838178,114.158248,0,2023,1.08,"5,321,514","5,587,116",5302108,5567710,1988,179895,164699,122420,106771,5747235.12,6034085.28,5726276.64,6013126.8,194286.6,177874.92,132213.6,115312.68,0.003646707,0.003473348,0.049910984,0.050093661,-0.084471497,-0.12783042,0.007881688
UBS AG,"52/F, TWO INTERNATIONAL FINANCE CENTRE, 8 FINANCE STREET, CENTRAL, HONG KONG.","AESCHENVORSTADT 1, 4002 BASEL, SWITZERLAND.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100113,22.2854833,114.159233,1,2021,8.48,"1,021,758","1,445,592","968,819","1,372,400",1998,32839,"36,695",24307,30288,8664507.84,12258620.16,8215585.12,11637952,278474.72,311173.6,206123.36,256842.24,0.051811681,0.05063116,0.414808595,0.416570071,0.117421359,0.246060806,-0.249062353
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LIMITED,"33/F, ICBC TOWER, 3 GARDEN ROAD, CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100077,22.2787212,114.160812,1,2021,1,9248200.2,"9,159,600","7,812,577","7,661,999",1964,"118,893","141,353","37,975","39,867",9248200.2,9159600,7812577,7661999,118893,141353,37975,39867,0.155232712,0.163500699,-0.009580264,-0.019273794,0.188909355,0.049822251,0.254183247
"SHANGHAI PUDONG DEVELOPMENT BANK CO., LTD.","30/F, SPD BANK TOWER, ONE HENNESSY, 1 HENNESSY ROAD, HONG KONG","12 ZHONGSHAN EAST NO. 1 ROAD, SHANGHAI, CHINA.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100306,22.2782366,114.168864,0,2023,1.08,"8,704,651","9,007,247","7,997,876","8,274,363",1993,"188,622","173,434","151,193","121,437",9401023.08,9727826.76,8637706.08,8936312.04,203711.76,187308.72,163288.44,131151.96,0.081195099,0.081366038,0.034762565,0.034570053,-0.08052083,-0.196808053,0.389216917
"WELLS FARGO BANK, NATIONAL ASSOCIATION","2705-2709, 27/F, THREE PACIFIC PLACE, 1 QUEEN'S ROAD EAST, WAN CHAI, HONG KONG","101 N. PHILLIPS AVENUE, SIOUX FALLS, SOUTH DAKOTA 57104, USA",Licensed Bank,,22.2770929,114.168215,0,2023,7.8,"1,894,303","1,885,475","1,711,136","1,700,615",1863,"74,368","82,597","57,205","55,562",14775563.4,14706705,13346860.8,13264797,580070.4,644256.6,446199,433383.6,0.096693612,0.098044259,-0.004660289,-0.006148547,0.110652431,-0.028721266,0.575190817
"BANK OF AMERICA, NATIONAL ASSOCIATION","52/F, CHEUNG KONG CENTER, 2 QUEEN'S ROAD CENTRAL, CENTRAL, HONG KONG.","100 NORTH TRYON STREET, 18/F, CHARLOTTE, NORTH CAROLINA 28255.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100045,22.2798839,114.160542,0,2023,7.8,3051375,3180151,2778178,2888505,1904,94950,98581,67422,72066,23800725,24805177.8,21669788.4,22530339,740610,768931.8,525891.6,562114.8,0.089532424,0.091708224,0.042202614,0.039711998,0.03824118,0.068879594,-0.036798896
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","18/F & 20-29/F, CHATER HOUSE, 8 CONNAUGHT ROAD CENTRAL, HONG KONG","383 MADISON AVENUE, NEW YORK, NY 10179, UNITED STATES.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100089,22.282276,114.15846,1,2018,7.8,"3,665,743","3,875,393","3,373,411","3,547,515",1799,"128,695","158,104","91,019","108,552",28592795.4,30228065.4,26312605.8,27670617,1003821,1233211.2,709948.2,846705.6,0.079746998,0.084605097,0.05719168,0.051610669,0.228517036,0.19263011,0.315213929
BANK OF CHINA LIMITED,"7/F, BANK OF CHINA TOWER, 1 GARDEN ROAD, CENTRAL, HONG KONG.","1 FUXINGMEN NEI DAJIE, BEIJING 100818, CHINA.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100011,22.2794281,114.161457,0,2023,1.103509159,28893548,32432166,26330247,29675351,1912,1464159.054,1532332,898384,1074989,31884294.85,35789192.23,29055668.72,32747021.63,1615712.926,1690942.397,991374.9723,1186260.207,0.088715342,0.085002494,0.122470872,0.127044156,0.046561162,0.196580749,-0.191652234
INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,"33/F., ICBC TOWER, 3 GARDEN ROAD, CENTRAL, HONG KONG.","55 FUXINGMENNEI DAJIE, XICHENG DISTRICT, BEIJING, 100031, CHINA.",Licensed Bank,,22.278741,114.160758,0,2023,1.08,"35,171,400","39,609,700","31,896,125","36,095,831",1984,350200,"361,000","236,227","240,884",37985112,42778476,34447815,38983497.48,378216,389880,255125.16,260154.72,0.093123248,0.088712336,0.126190598,0.13166822,0.03083952,0.019714089,0.05389873
AGRICULTURAL BANK OF CHINA LIMITED,"25/F, AGRICULTURAL BANK OF CHINA TOWER, 50 CONNAUGHT ROAD CENTRAL, HONG KONG.","NO. 69, JIANGUOMEN NEI AVENUE, DONGCHENG DISTRICT, BEIJING, P.R. CHINA",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100235,22.2854193,114.155977,0,2023,1,42921156,36518987,33640826,39802833,1979,748435.26,748634.4,262191.26,271592.94,42921156,36518987,33640826,39802833,748435.26,748634.4,262191.26,271592.94,0.216218081,-0.089921607,-0.14916115,0.183170502,0.000266075,0.035858098,-0.018925766
VP BANK LTD,"8/F, NEW WORLD TOWER II, 16-18 QUEEN'S ROAD CENTRAL, HONG KONG","FL-9490 VADUZ, AEULESTRASSE 6, LIECHTENSTEIN.",Local Representative Office,,22.280591,114.157329,0,2023,8.81,"12,631,061","11,449,893","11,528,936","10,342,741",2006,336.361,364.431,296.201,320.222,111279647.4,100873557.3,101569926.2,91119548.21,2963.34041,3210.63711,2609.53081,2821.15582,0.08725514,0.096695401,-0.093512968,-0.102888506,0.083452005,0.081096958,0.100821713
SHANGHAI COMMERCIAL BANK LIMITED,"SHANGHAI COMMERCIAL BANK TOWER, 12 QUEEN'S ROAD CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100074,22.2806329,114.157535,1,2018,0.24,"1,503,505,612","1,583,903,695","1,333,724,704","1,400,586,651",1950,"28,101,762","28,410,141","8,680,584","9,225,283",360841346.9,380136886.8,320093929,336140796.2,6744422.88,6818433.84,2083340.16,2214067.92,0.112923362,0.115737494,0.05347375,0.050131745,0.010973654,0.062749119,-0.01216816
"HUA NAN COMMERCIAL BANK, LTD.","SUITE 5601-03, 56/F., CENTRAL PLAZA, 18 HARBOUR ROAD, WANCHAI, HONG KONG.","NO. 123, SONGREN ROAD, XINYI DIST., TAIPEI, TAIWAN.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100213,22.2801579,114.173739,1,2024,240,3024000,3368000,2822000,3158000,1919,"37,744,659","41,300,537","21,237,783","22,445,018",725760000,808320000,677280000,757920000,9058718160,9912128880,5097067920,5386804320,0.066798942,0.062351544,0.113756614,0.119064493,0.094208773,0.056843739,0.142282707
